model,short,query_id,patent,origin,qlang,src,n_targets,foreign_reach10
BAAI/bge-m3,bge-m3,EP-4634424-A1_en_q_es,EP-4634424-A1,synthetic,es,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4633602-A1_en_q_de,EP-4633602-A1,synthetic,de,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634337-A1_en_q_en,EP-4634337-A1,original,en,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4634128-A1_en_q_en,EP-4634128-A1,original,en,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4633896-A1_en_q_en,EP-4633896-A1,original,en,en,1,0.0
BAAI/bge-m3,bge-m3,WO-2025215091-A1_fr_q_fr,WO-2025215091-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,EP-4633599-A1_fr_q_fr,EP-4633599-A1,original,fr,fr,1,1.0
BAAI/bge-m3,bge-m3,EP-4633656-A1_fr_q_fr,EP-4633656-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,WO-2025208167-A1_de_q_de,WO-2025208167-A1,original,de,de,1,0.0
BAAI/bge-m3,bge-m3,EP-4634396-A1_fr_q_fr,EP-4634396-A1,original,fr,fr,1,1.0
BAAI/bge-m3,bge-m3,EP-4633893-A1_fr_q_fr,EP-4633893-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,EP-4633462-A1_en_q_en,EP-4633462-A1,original,en,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4633386-A1_en_q_en,EP-4633386-A1,original,en,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4633970-A1_fr_q_fr,EP-4633970-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,EP-4633415-A1_en_q_en,EP-4633415-A1,original,en,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4633415-A1_en_q_de,EP-4633415-A1,synthetic,de,en,1,0.0
BAAI/bge-m3,bge-m3,EP-4633415-A1_fr_q_fr,EP-4633415-A1,original,fr,fr,1,0.0
BAAI/bge-m3,bge-m3,EP-4633415-A1_en_q_es,EP-4633415-A1,synthetic,es,en,1,1.0
BAAI/bge-m3,bge-m3,EP-4633950-A1_en_q_en,EP-4633950-A1,original,en,en,1,0.0
