model,short,query_id,qlang,same_share,foreign_share,base_same,overrep,entropy,clir_at_10,frac_en,frac_de,frac_es,frac_fr,frac_zh
google/embeddinggemma-300m,embeddinggemma,EP-4634914-A1_en_q_es,es,0.3,0.7,0.09055366376592257,3.312952646239554,1.5709505944546684,1.0,0.4,0.0,0.3,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634285-A1_en_q_de,de,0.0,1.0,0.06730567116492202,0.0,0.9709505944546686,1.0,0.6,0.0,0.0,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634122-A1_fr_q_fr,fr,0.9,0.09999999999999998,0.37016017152226005,2.4313798977853494,0.4689955935892812,0.0,0.1,0.0,0.0,0.9,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634365-A1_fr_q_fr,fr,0.5,0.5,0.37016017152226005,1.3507666098807496,1.0,1.0,0.5,0.0,0.0,0.5,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025214709-A1_de_q_es,es,0.2,0.8,0.09055366376592257,2.208635097493036,1.7609640474436812,1.0,0.5,0.2,0.2,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633426-A2_en_q_es,es,0.1,0.9,0.09055366376592257,1.104317548746518,1.8464393446710154,1.0,0.4,0.2,0.1,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630604-A1_de_q_es,es,0.2,0.8,0.09055366376592257,2.208635097493036,1.9709505944546686,0.5,0.3,0.2,0.2,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634118-A1_en_q_es,es,0.1,0.9,0.09055366376592257,1.104317548746518,1.6854752972273344,1.0,0.5,0.0,0.1,0.3,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4634404-A1_en_q_de,de,0.1,0.9,0.06730567116492202,1.4857589006870706,1.360964047443681,1.0,0.5,0.1,0.0,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633465-A1_en_q_de,de,0.1,0.9,0.06730567116492202,1.4857589006870706,2.0464393446710156,1.0,0.4,0.1,0.1,0.3,0.1
google/embeddinggemma-300m,embeddinggemma,EP-4633680-A1_en_q_es,es,0.6,0.4,0.09055366376592257,6.625905292479108,1.3709505944546687,1.0,0.2,0.0,0.6,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025201606-A1_de_q_es,es,0.1,0.9,0.09055366376592257,1.104317548746518,1.3567796494470397,1.0,0.7,0.1,0.1,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634435-A1_en_q_de,de,0.2,0.8,0.06730567116492202,2.9715178013741412,1.8464393446710154,1.0,0.3,0.2,0.1,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634143-A1_en_q_de,de,0.3,0.7,0.06730567116492202,4.457276702061211,1.9709505944546686,1.0,0.2,0.3,0.2,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634411-A1_en_q_de,de,0.5,0.5,0.06730567116492202,7.428794503435353,1.4854752972273344,0.0,0.2,0.5,0.0,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634287-A1_en_q_es,es,0.1,0.9,0.09055366376592257,1.104317548746518,1.360964047443681,0.0,0.4,0.0,0.1,0.5,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633627-A1_en_q_de,de,0.0,1.0,0.06730567116492202,0.0,0.9709505944546686,1.0,0.4,0.0,0.0,0.6,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633670-A1_fr_q_fr,fr,0.8,0.19999999999999996,0.37016017152226005,2.1612265758091995,0.7219280948873623,1.0,0.2,0.0,0.0,0.8,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025202163-A1_fr_q_fr,fr,0.6,0.4,0.37016017152226005,1.6209199318568994,1.3709505944546687,1.0,0.2,0.2,0.0,0.6,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025214852-A1_fr_q_fr,fr,0.5,0.5,0.37016017152226005,1.3507666098807496,1.4854752972273344,0.0,0.3,0.2,0.0,0.5,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025214996-A1_fr_q_fr,fr,0.6,0.4,0.37016017152226005,1.6209199318568994,1.295461844238322,0.0,0.3,0.1,0.0,0.6,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4630123-A1_de_q_de,de,0.2,0.8,0.06730567116492202,2.9715178013741412,1.8464393446710154,1.0,0.4,0.2,0.1,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634646-A1_en_q_en,en,0.4,0.6,0.4551645856980704,0.8788029925187033,1.360964047443681,1.0,0.4,0.0,0.1,0.5,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634294-A1_en_q_en,en,0.6,0.4,0.4551645856980704,1.3182044887780549,1.295461844238322,1.0,0.6,0.0,0.1,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634436-A1_fr_q_fr,fr,0.6,0.4,0.37016017152226005,1.6209199318568994,1.295461844238322,1.0,0.3,0.1,0.0,0.6,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4633761-A1_en_q_en,en,0.8,0.19999999999999996,0.4551645856980704,1.7576059850374066,0.9219280948873623,0.0,0.8,0.0,0.1,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025215167-A1_de_q_de,de,0.2,0.8,0.06730567116492202,2.9715178013741412,1.8464393446710154,1.0,0.3,0.2,0.1,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_en,en,0.6,0.4,0.4551645856980704,1.3182044887780549,1.3709505944546687,1.0,0.6,0.2,0.0,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_de,de,0.5,0.5,0.06730567116492202,7.428794503435353,1.4854752972273344,1.0,0.2,0.5,0.0,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_fr_q_fr,fr,1.0,0.0,0.37016017152226005,2.701533219761499,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_es,es,0.0,1.0,0.09055366376592257,0.0,1.5709505944546684,1.0,0.3,0.3,0.0,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_de_q_en,en,0.7,0.30000000000000004,0.4551645856980704,1.5379052369077306,0.8812908992306927,0.0,0.7,0.0,0.3,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_fr_q_fr,fr,1.0,0.0,0.37016017152226005,2.701533219761499,-0.0,0.0,0.0,0.0,0.0,1.0,0.0
google/embeddinggemma-300m,embeddinggemma,WO-2025201936-A1_de_q_es,es,1.0,0.0,0.09055366376592257,11.04317548746518,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_en,en,0.7,0.30000000000000004,0.4551645856980704,1.5379052369077306,1.1567796494470395,0.0,0.7,0.0,0.1,0.2,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_de,de,0.4,0.6,0.06730567116492202,5.9430356027482825,1.8464393446710154,1.0,0.3,0.4,0.2,0.1,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_fr_q_fr,fr,0.3,0.7,0.37016017152226005,0.8104599659284497,1.4854752972273344,1.0,0.5,0.0,0.2,0.3,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634597-A1_en_q_es,es,0.3,0.7,0.09055366376592257,3.312952646239554,1.5709505944546684,0.0,0.3,0.0,0.3,0.4,0.0
google/embeddinggemma-300m,embeddinggemma,EP-4634381-A1_en_q_zh,zh,0.2,0.8,0.016815907848824987,11.893500000000001,1.7609640474436812,0.0,0.5,0.0,0.1,0.2,0.2
google/embeddinggemma-300m,embeddinggemma,EP-4633589-A1_en_q_zh,zh,0.2,0.8,0.016815907848824987,11.893500000000001,1.5709505944546687,0.0,0.1,0.0,0.1,0.6,0.2
google/embeddinggemma-300m,embeddinggemma,EP-4627024-A1_de_q_zh,zh,0.2,0.8,0.016815907848824987,11.893500000000001,1.4854752972273344,0.0,0.5,0.0,0.0,0.3,0.2
