model,short,query_id,qlang,origin,auc_all,auc_same,auc_cross,margin_cross,norm_score_cross
google/embeddinggemma-300m,embeddinggemma,EP-4634404-A1_en_q_de,de,synthetic,0.9989979959919839,,0.9989979959919839,-0.013379197804439332,0.7766060427640381
google/embeddinggemma-300m,embeddinggemma,EP-4633465-A1_en_q_de,de,synthetic,0.998997995991984,,0.998997995991984,0.09619855827515018,0.7885563006609005
google/embeddinggemma-300m,embeddinggemma,EP-4633680-A1_en_q_es,es,synthetic,1.0,,1.0,0.2484204754566187,0.8088185576218546
google/embeddinggemma-300m,embeddinggemma,WO-2025201606-A1_de_q_es,es,synthetic,0.997995991983968,,0.997995991983968,-0.15803654784742718,0.7212630682484564
google/embeddinggemma-300m,embeddinggemma,EP-4634435-A1_en_q_de,de,synthetic,1.0,,1.0,0.1590803063253162,0.7997128370960787
google/embeddinggemma-300m,embeddinggemma,EP-4634143-A1_en_q_de,de,synthetic,0.9987474949899801,,0.9987474949899801,0.0,0.8140320353989668
google/embeddinggemma-300m,embeddinggemma,EP-4634411-A1_en_q_de,de,synthetic,0.7870741482965932,,0.7870741482965932,-0.7821643732379341,0.07019287659384917
google/embeddinggemma-300m,embeddinggemma,EP-4634287-A1_en_q_es,es,synthetic,0.8980274155800735,,0.8980274155800735,-0.22446233102750696,0.4056139497086507
google/embeddinggemma-300m,embeddinggemma,EP-4633627-A1_en_q_de,de,synthetic,1.0,,1.0,0.19531691493930692,0.88319843081357
google/embeddinggemma-300m,embeddinggemma,EP-4633670-A1_fr_q_fr,fr,original,1.0,1.0,1.0,0.2446861189400906,0.8302550914949571
google/embeddinggemma-300m,embeddinggemma,WO-2025202163-A1_fr_q_fr,fr,original,0.998496993987976,0.9999999999999999,0.996993987975952,-0.15966361816540411,0.6060859698751433
google/embeddinggemma-300m,embeddinggemma,WO-2025214852-A1_fr_q_fr,fr,original,0.9594188376753507,0.9649298597194389,0.9539078156312626,-0.40221438945925275,0.4102588119920868
google/embeddinggemma-300m,embeddinggemma,WO-2025214996-A1_fr_q_fr,fr,original,0.9839679358717435,0.9979959919839679,0.969939879759519,-0.5424986140321544,0.332364418203614
google/embeddinggemma-300m,embeddinggemma,EP-4630123-A1_de_q_de,de,original,0.9974949899799599,1.0,0.9949899799599198,-0.1289492231789907,0.5983074766577253
google/embeddinggemma-300m,embeddinggemma,EP-4634646-A1_en_q_en,en,original,1.0,0.9999999999999999,0.9999999999999999,0.4215140389645791,0.771598128309306
google/embeddinggemma-300m,embeddinggemma,EP-4634294-A1_en_q_en,en,original,0.9969939879759518,0.9999999999999999,0.9939879759519037,-0.20325479602363872,0.6039024486169323
google/embeddinggemma-300m,embeddinggemma,EP-4634436-A1_fr_q_fr,fr,original,0.9979959919839679,0.998997995991984,0.9969939879759518,-0.07726096413469717,0.7512359827642817
google/embeddinggemma-300m,embeddinggemma,WO-2025215167-A1_de_q_de,de,original,0.998496993987976,1.0,0.996993987975952,-0.17872385532489435,0.622089333009564
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_en,en,synthetic,0.9994989979959918,,0.9994989979959918,0.03671877274182754,0.7779278523279489
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_de,de,original,0.9979959919839679,0.9989979959919839,0.9969939879759518,-0.11892572343540969,0.7379490992223676
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_fr_q_fr,fr,original,0.9894789579158316,1.0,0.9789579158316634,-0.33549110255392656,0.43493855208728094
google/embeddinggemma-300m,embeddinggemma,EP-4626962-A1_de_q_es,es,synthetic,0.9979959919839679,,0.9979959919839679,-0.1652490886998784,0.6630368322998936
