id,n_latin_types,maps_to_chebi,zh_fixable,fully_fixable,example_fixable_terms
EP-4634323-A1_zh,9,0,0,False,
WO-2022055397-A1_zh,11,0,0,False,
MX-2025007669-A_zh,3,2,0,False,
MX-2025007552-A_zh,3,0,0,False,
WO-2025205979-A1_zh,7,0,0,False,
WO-2025188853-A8_zh,16,2,1,False,protein
MX-2025004837-A_zh,3,0,0,False,
MX-2025007237-A_zh,14,3,2,False,methoxy; pectin
WO-2024128940-A1_zh,5,2,2,False,acetic acid
WO-2025195675-A1_zh,6,1,0,False,
WO-2025188373-A8_zh,3,1,1,False,phthalimide
EP-4633801-A1_zh,10,0,0,False,
WO-2025217466-A1_zh,7,0,0,False,
WO-2025206147-A1_zh,13,1,1,False,maleimide
EP-4532594-A1_zh,3,1,0,False,
EP-4633598-A1_zh,3,0,0,False,
WO-2025185656-A8_zh,12,0,0,False,
WO-2025201469-A1_zh,1,0,0,False,
MX-2025009300-A_zh,4,1,0,False,
EP-4626866-A1_zh,1,1,0,False,
MX-2025006272-A_zh,5,2,2,False,peptide; proteins
WO-2025173520-A1_zh,11,0,0,False,
EP-4493403-A1_zh,1,0,0,False,
WO-2025181830-A3_zh,2,0,0,False,
WO-2023158340-A1_zh,7,1,1,False,alumina
WO-2025190808-A1_zh,1,0,0,False,
WO-2024207083-A1_zh,9,1,0,False,
WO-2025187188-A8_zh,2,0,0,False,
WO-2025207414-A1_zh,18,5,2,False,hydrocarbon; mineral
WO-2025202209-A1_zh,18,0,0,False,
MX-2025005677-A_zh,4,2,2,False,Magnesium; zinc
MX-2025007532-A_zh,3,0,0,False,
WO-2025026803-A1_zh,24,11,8,False,(-)-propylene oxide; aldehyde; epoxides; oxide; phosphonic acid; polyamine
MX-2025009603-A_zh,2,0,0,False,
EP-4626860-A1_zh,12,0,0,False,
WO-2025210166-A1_zh,13,1,1,False,protein
EP-4626833-A2_zh,15,4,2,False,ammonium; urea
EP-4626382-A1_zh,13,0,0,False,
WO-2025210643-A1_zh,3,0,0,False,
WO-2025200809-A1_zh,1,0,0,False,
WO-2025203966-A1_zh,3,0,0,False,
MX-2025005792-A_zh,2,0,0,False,
